Event,,It's About Time,,, Remote Sensing,,, Write It Do It,,, Anatomy & Physiology,,, Fermi Questions,,, Forensics,,, Rocks and Minerals,,, Cell Biology,,, Experimental Design,,, Environmental Chemistry,,, Detector Building,,, Dynamic Planet,,, Green Generation,,, Astronomy,,, Codebusters,,, Forestry,,, Chem Lab,,, Disease Detectives,,, Wifi Lab,,, Bridge,,, Detector Building,,, It's About Time,,, Scrambler,,, Trajectory,,, WiFi Lab,,, Flight,
Maximum Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scores,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank,Raw,Scaled,Rank
